"","ppt_id","Motives.Feeling","Motives.Exciting","Motives.High","Motives.Fun","Motives.Good","PGSI.Afford","PGSI.Excitement","PGSI.WinBack","PGSI.Borrowed","PGSI.Problem","PGSI.Health","PGSI.Criticised","PGSI.Financial","PGSI.Guilty"
"94","P0281","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"95","P0117","Always","Often","Always","Sometimes","Sometimes","MostTime","MostTime","Sometimes","Never","MostTime","MostTime","MostTime","Never","Always"
"96","P0298","Often","Often","Often","Always","Always","Sometimes","MostTime","MostTime","Never","Always","Always","Always","Never","Sometimes"
"97","P1726","Often","Always","Always","Always","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"98","P0886","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"99","P0578","Sometimes","Often","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"100","P0895","Sometimes","Often","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Sometimes"
"101","P1074","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"102","P0232","Never","Never","Never","Never","Never","Never","Never","Sometimes","Sometimes","MostTime","Always","Sometimes","MostTime","Sometimes"
"103","P1772","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"104","P1150","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"105","P0969","Never","Sometimes","Never","Always","Never","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","MostTime"
"106","P1644","Often","Often","Often","Often","Often","MostTime","MostTime","MostTime","MostTime","MostTime","MostTime","MostTime","Sometimes","Sometimes"
"107","P1573","Sometimes","Often","Often","Often","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never"
"108","P1183","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"109","P1111","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"110","P1673","Often","Always","Sometimes","Always","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"111","P1222","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"112","P0702","Often","Always","Sometimes","Often","Often","Never","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes"
"113","P1242","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"114","P1791","Sometimes","Sometimes","Never","Always","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"115","P1328","Often","Always","Sometimes","Always","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"116","P0460","Often","Sometimes","Often","Sometimes","Never","Sometimes","MostTime","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Sometimes"
"117","P0785","Often","Always","Sometimes","Never","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"118","P1088","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"119","P1788","Sometimes","Sometimes","Often","Often","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes","Never","Sometimes"
"120","P1391","Sometimes","Often","Often","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"121","P0376","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"122","P1727","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"123","P1669","Often","Often","Never","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"124","P1213","Often","Always","Sometimes","Often","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"125","P0069","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"126","P0542","Often","Always","Often","Always","Often","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never"
"127","P1267","Never","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"128","P1233","Sometimes","Often","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"129","P1041","Sometimes","Often","Sometimes","Sometimes","Sometimes","Always","Sometimes","Always","Sometimes","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"130","P0325","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"131","P0985","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"132","P1494","Sometimes","Never","Never","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"133","P0931","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"134","P0097","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"135","P0129","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"136","P1574","Always","Always","Always","Always","Always","MostTime","MostTime","MostTime","MostTime","MostTime","Always","Always","Always","Always"
"137","P1594","Always","Always","Often","Often","Always","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Sometimes"
"138","P1302","Often","Often","Often","Often","Often","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"139","P0458","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"140","P0508","Sometimes","Often","Often","Sometimes","Often","Never","Never","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never"
"141","P0649","Sometimes","Often","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"142","P0042","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"143","P1630","Often","Often","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"144","P0031","Sometimes","Always","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"145","P1645","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"146","P0954","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"147","P1238","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"148","P1381","Always","Always","Often","Always","Always","Sometimes","MostTime","MostTime","Sometimes","Sometimes","MostTime","Sometimes","Sometimes","Always"
"149","P0791","Never","Never","Sometimes","Often","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"150","P0442","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"151","P0658","Sometimes","Often","Never","Often","Sometimes","Never","Never","Never","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"152","P1770","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"153","P1750","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","MostTime"
"154","P0919","Sometimes","Often","Sometimes","Always","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"155","P1343","Never","Often","Never","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"156","P1286","Always","Always","Always","Always","Always","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"157","P1031","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"158","P0135","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"159","P1478","Sometimes","Often","Never","Often","Sometimes","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"160","P1657","Often","Often","Often","Always","Sometimes","Never","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"161","P0352","Often","Always","Often","Always","Often","Never","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"162","P0217","Never","Often","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"163","P1321","Sometimes","Always","Often","Always","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Sometimes","Never","Never"
"164","P0347","Always","Sometimes","Sometimes","Always","Always","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"165","P1089","Sometimes","Often","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"166","P1538","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"167","P1349","Sometimes","Often","Often","Often","Sometimes","Sometimes","Sometimes","Always","Never","MostTime","Sometimes","Sometimes","Never","Sometimes"
"168","P1709","Often","Often","Often","Often","Sometimes","Never","Sometimes","Sometimes","Never","MostTime","Never","Sometimes","Never","Sometimes"
"169","P1275","Always","Always","Sometimes","Always","Often","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"170","P0194","Never","Never","Always","Never","Never","Always","MostTime","MostTime","Sometimes","Always","MostTime","MostTime","Sometimes","Always"
"171","P1387","Often","Always","Always","Often","Sometimes","Sometimes","MostTime","MostTime","Always","MostTime","MostTime","Sometimes","Sometimes","Always"
"172","P1117","Sometimes","Often","Sometimes","Never","Sometimes","Never","Never","Sometimes","Never","Never","MostTime","Never","Sometimes","Sometimes"
"173","P0195","Often","Always","Always","Always","Often","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"174","P0831","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"175","P0445","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"176","P0475","Sometimes","Often","Often","Always","Often","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"177","P0788","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Sometimes"
"178","P0480","Sometimes","Often","Sometimes","Always","Sometimes","Never","Never","Never","Never","Sometimes","Never","Never","Never","Sometimes"
"179","P1744","Sometimes","Often","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"180","P0395","Sometimes","Sometimes","Never","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never"
"181","P1269","Sometimes","Sometimes","Sometimes","Often","Often","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never"
"182","P0008","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never"
"183","P1414","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"184","P1513","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","MostTime","Sometimes","Always","Sometimes","Always","Always","Always","Always","Always"
"185","P0258","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"186","P0147","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"187","P0912","Never","Sometimes","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"188","P0695","Sometimes","Sometimes","Never","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"189","P0224","Sometimes","Often","Sometimes","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"190","P1228","Often","Often","Often","Often","Often","Never","Sometimes","Sometimes","Never","Sometimes","Sometimes","Sometimes","Never","Sometimes"
"191","P0357","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"192","P0060","Often","Often","Often","Often","Often","Sometimes","Sometimes","MostTime","Never","Sometimes","Never","Never","Never","Sometimes"
"193","P0193","Sometimes","Sometimes","Often","Often","Often","Never","Never","Never","Never","Never","Never","Never","Never","Sometimes"
"194","P0986","Always","Always","Always","Always","Often","Sometimes","Never","MostTime","Never","Sometimes","Never","Sometimes","Never","Sometimes"
"195","P1683","Often","Often","Often","Always","Often","Never","Sometimes","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes"
"196","P1071","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Sometimes","Never","Never","Never","Sometimes"
"197","P0703","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
"198","P1579","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Sometimes"
"199","P0188","Often","Always","Often","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Never","Never"
