"","ppt_id","bet_no","bet_time","old_bonus","total_amt_bet","win","new_bonus","average_odds","total_numbers_bet","no_tokens"
"6451","P1556",4,"14:30:30",6,-0.5,0,5.5,2.63,13,5
"6452","P1556",5,"14:30:48",5.5,-0.5,0,5,2.63,13,5
"6453","P0708",1,"14:31:07",3,-0.8,0.2,2.4,0.67,37,8
"6454","P1556",6,"14:31:07",5,-0.5,0,4.5,2.63,13,5
"6455","P0083",1,"14:31:14",3,-1,2,4,1.03,18,1
"6456","P1556",7,"14:31:25",4.5,-0.5,1.8,5.8,2.63,13,5
"6457","P0708",2,"14:31:51",2.4,-0.7,0.4,2.1,1.1,34,7
"6458","P1556",8,"14:31:53",5.8,-0.8,0,5,3.25,13,8
"6459","P0216",1,"14:32:47",3,-1,0,2,1.03,18,1
"6460","P0708",3,"14:32:48",2.1,-0.7,0.7,2.1,0.81,37,7
"6461","P0216",2,"14:33:13",2,-1,1,2,4.53,19,2
"6462","P0302",1,"14:33:14",3,-0.5,0,2.5,1.03,18,1
"6463","P1624",1,"14:33:20",3,-1,0,2,2.63,10,10
"6464","P0302",2,"14:33:26",2.5,-1,0,1.5,1.03,18,1
"6465","P0708",4,"14:33:36",2.1,-0.6,0.5,2,0.93,36,6
"6466","P0302",3,"14:33:39",1.5,-1,0,0.5,1.03,18,1
"6467","P0302",4,"14:33:51",0.5,-0.5,1,1,1.03,18,1
"6468","P0216",3,"14:34:10",2,-1,7.2,8.2,4.07,11,5
"6469","P0302",5,"14:34:24",1,-0.4,0.6,1.2,0.53,24,4
"6470","P1624",2,"14:34:30",2,-0.5,0.9,2.4,1.13,18,5
"6471","P0708",5,"14:34:33",2,-0.6,0.2,1.6,0.57,36,6
"6472","P1624",3,"14:34:58",2.4,-0.4,0,2,8.03,4,4
"6473","P0302",6,"14:34:58",1.2,-0.2,0,1,2.03,12,2
"6474","P0708",6,"14:35:32",1.6,-0.6,0.4,1.4,1.3,31,6
