"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.0705","Control","","","Endowment","Unspent",0,0
"F.0638","Control","","","Endowment","Unspent",0,0
"F.0461","Control","","","Endowment","Unspent",0,0
"F.1055","Control","","","Endowment","Unspent",1.5,1.5
"F.0374","Treatment","","","Endowment","Unspent",0,0
"F.0007","Treatment","","","Endowment","Unspent",0,0
"F.1179","Treatment","","","Endowment","Unspent",0,0
"F.0988","Treatment","","","Endowment","Unspent",2,2
"F.0467","Treatment","","","Endowment","Unspent",3,3
"F.1207","Treatment","","","Endowment","Unspent",3,3
"F.0202","Control","","","Endowment","Unspent",0,0
"F.0959","Treatment","","","Endowment","Unspent",3,3
"F.0196","Control","","","Endowment","Unspent",3,3
"F.0492","Treatment","","","Endowment","Unspent",0,0
"F.0652","Treatment","","","Endowment","Unspent",3,3
"F.0932","Treatment","","","Endowment","Unspent",0,0
"F.0783","Control","","","Endowment","Unspent",3,3
"F.0756","Control","","","Endowment","Unspent",3,3
"F.0811","Control","","","Endowment","Unspent",3,3
"F.0190","Control","","","Endowment","Unspent",3,3
"F.0470","Control","","","Endowment","Unspent",0,0
"F.0150","Treatment","","","Endowment","Unspent",2,2
"F.0300","Treatment","","","Endowment","Unspent",2,2
"F.0973","Treatment","","","Endowment","Unspent",1,1
"F.0703","Control","","","Endowment","Unspent",0,0
"F.0738","Control","","","Endowment","Unspent",3,3
"F.0172","Control","","","Endowment","Unspent",0,0
"F.0866","Control","","","Endowment","Unspent",3,3
"F.1269","Treatment","","","Endowment","Unspent",0,0
"F.1293","Control","","","Endowment","Unspent",3,3
"F.0459","Treatment","","","Endowment","Unspent",3,3
"F.1132","Control","","","Endowment","Unspent",3,3
"F.0200","Treatment","","","Endowment","Unspent",1.75,1.75
"F.0023","Treatment","","","Endowment","Unspent",0,0
"F.0540","Control","","","Endowment","Unspent",0,0
"F.1074","Treatment","","","Endowment","Unspent",0,0
"F.1039","Treatment","","","Endowment","Unspent",1.6,1.6
"F.1245","Control","","","Endowment","Unspent",3,3
"F.0256","Control","","","Endowment","Unspent",0,0
"F.1291","Control","","","Endowment","Unspent",0,0
"F.0903","Treatment","","","Endowment","Unspent",3,3
"F.1292","Control","","","Endowment","Unspent",0,0
"F.0472","Treatment","","","Endowment","Unspent",0,0
"F.0869","Treatment","","","Endowment","Unspent",2,2
"F.0089","Control","","","Endowment","Unspent",0,0
"F.0819","Treatment","","","Endowment","Unspent",0,0
"F.0709","Treatment","","","Endowment","Unspent",3,3
"F.0088","Control","","","Endowment","Unspent",0,0
"F.0827","Treatment","","","Endowment","Unspent",3,3
"F.0146","Treatment","","","Endowment","Unspent",3,3
"F.0883","Treatment","","","Endowment","Unspent",0,0
"F.0818","Treatment","","","Endowment","Unspent",3,3
"F.0093","Treatment","","","Endowment","Unspent",3,3
"F.0590","Treatment","","","Endowment","Unspent",3,3
"F.1284","Control","","","Endowment","Unspent",3,3
"F.0632","Treatment","","","Endowment","Unspent",3,3
"F.0910","Treatment","","","Endowment","Unspent",1.46,1.46
"F.0780","Control","","","Endowment","Unspent",0,0
"F.0894","Control","","","Endowment","Unspent",3,3
"F.0689","Control","","","Endowment","Unspent",3,3
"F.0534","Treatment","","","Endowment","Unspent",3,3
"F.0986","Treatment","","","Endowment","Unspent",0,0
"F.0442","Control","","","Endowment","Unspent",1.5,1.5
"F.0432","Treatment","","","Endowment","Unspent",0,0
"F.0518","Treatment","","","Endowment","Unspent",3,3
"F.0987","Treatment","","","Endowment","Unspent",3,3
"F.0603","Treatment","","","Endowment","Unspent",3,3
"F.0541","Control","","","Endowment","Unspent",3,3
"F.0851","Treatment","","","Endowment","Unspent",3,3
"F.1111","Treatment","","","Endowment","Unspent",0,0
"F.0960","Treatment","","","Endowment","Unspent",0.5,0.5
"F.1030","Control","","","Endowment","Unspent",0,0
"F.0852","Treatment","","","Endowment","Unspent",3,3
"F.0629","Treatment","","","Endowment","Unspent",0,0
"F.0586","Treatment","","","Endowment","Unspent",2.2,2.2
"F.0359","Control","","","Endowment","Unspent",3,3
"F.0636","Treatment","","","Endowment","Unspent",3,3
"F.1122","Treatment","","","Endowment","Unspent",3,3
"F.1041","Control","","","Endowment","Unspent",0,0
"F.0266","Control","","","Endowment","Unspent",2,2
"F.0142","Control","","","Endowment","Unspent",0,0
"F.0892","Control","","","Endowment","Unspent",0,0
"F.0674","Control","","","Endowment","Unspent",0,0
"F.1060","Control","","","Endowment","Unspent",2,2
"F.1066","Control","","","Endowment","Unspent",0,0
"F.0481","Treatment","","","Endowment","Unspent",3,3
"F.1188","Control","","","Endowment","Unspent",3,3
"F.0353","Control","","","Endowment","Unspent",3,3
"F.0723","Control","","","Endowment","Unspent",3,3
"F.1146","Control","","","Endowment","Unspent",0,0
"F.0694","Control","","","Endowment","Unspent",0,0
"F.0584","Treatment","","","Endowment","Unspent",3,3
"F.0635","Treatment","","","Endowment","Unspent",0,0
"F.0553","Control","","","Endowment","Unspent",0,0
"F.0682","Control","","","Endowment","Unspent",0,0
