"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.1083","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0734","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0734","Control","Chelsea vs Southampton","90 Minutes","Draw","Draw",0.5,2.2
"F.0596","Treatment","Leicester vs Aston Villa","Correct Score","Home","2--1",1,8
"F.0596","Treatment","Newcastle vs Man Utd","Correct Score","Draw","1--1",1,6.5
"F.0596","Treatment","Tottenham vs West Ham","Correct Score","Draw","2--2",1,15
"F.0194","Control","Everton vs Liverpool","First Goalscorer","Away","Mohamed Salah",1.5,6.3
"F.0430","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",0.5,1.95
"F.0430","Control","Leicester vs Aston Villa","Correct Score","Home","2--1",0.25,2
"F.0430","Control","West Brom vs Burnley","90 Minutes","Draw","Draw",0.25,0.83
"F.0430","Control","Chelsea vs Southampton","Correct Score","Home","3--1",0.25,2.75
"F.0430","Control","Newcastle vs Man Utd","Correct Score","Away","1--3",0.25,3
"F.0708","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",3,4.2
"F.0131","Control","Tottenham vs West Ham","First Goalscorer","Home","Harry Kane",3,11.4
"F.0476","Treatment","Tottenham vs West Ham","Correct Score","Home","1--0",0.2,1.5
"F.0210","Control","Chelsea vs Southampton","Correct Score","Home","3--2",0.25,4.75
"F.0210","Control","West Brom vs Burnley","90 Minutes","Draw","Draw",0.25,0.83
"F.0210","Control","Man City vs Arsenal","90 Minutes","Home","Man City",0.25,0.35
"F.0210","Control","Man City vs Arsenal","Correct Score","Home","2--0",0.25,2.13
"F.0210","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",0.25,0.98
"F.0210","Control","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.25,0.8
"F.0210","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",0.25,0.65
"F.0210","Control","Tottenham vs West Ham","90 Minutes","Draw","Draw",0.25,1.05
"F.0210","Control","Leicester vs Aston Villa","Correct Score","Home","3--2",0.25,4.75
"F.0210","Control","Sheffield Utd vs Fulham","90 Minutes","Away","Fulham",0.25,0.94
"F.0210","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.25,0.53
"F.0210","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.25,1.25
"F.0826","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0082","Treatment","Chelsea vs Southampton","90 Minutes","Draw","Draw",3,13.2
"F.0395","Control","Leicester vs Aston Villa","First Goalscorer","Home","Jamie Vardy",1,3.3
"F.0821","Control","Leeds vs Wolves","Correct Score","Home","2--0",1,12
"F.0821","Control","Tottenham vs West Ham","Correct Score","Home","3--0",1,12
"F.0821","Control","Everton vs Liverpool","Correct Score","Away","1--2",1,8
"F.1140","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.1140","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1140","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0388","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",3,22.5
"F.0948","Control","Newcastle vs Man Utd","Correct Score","Draw","1--1",0.5,3.25
"F.0868","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1249","Control","Everton vs Liverpool","Correct Score","Away","1--2",0.5,4
"F.1249","Control","Everton vs Liverpool","Correct Score","Away","2--4",0.5,17
"F.1249","Control","Everton vs Liverpool","Correct Score","Away","0--2",0.5,5
"F.1249","Control","Everton vs Liverpool","First Goalscorer","Away","Sadio Mane",0.5,2.5
"F.1249","Control","Everton vs Liverpool","Correct Score","Away","1--3",0.5,6
"F.1249","Control","Everton vs Liverpool","Correct Score","Away","2--3",0.5,9.5
"F.0599","Control","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.0599","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",2,7.8
"F.1279","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1.5,2.25
"F.1279","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1.5,2.36
"F.0877","Control","Leicester vs Aston Villa","Correct Score","Home","2--0",1,9.5
"F.0877","Control","Leicester vs Aston Villa","Correct Score","Home","3--0",1,15
"F.0877","Control","Leicester vs Aston Villa","Correct Score","Home","2--0",1,9.5
"F.1208","Control","Leicester vs Aston Villa","Correct Score","Home","2--1",0.1,0.8
"F.1208","Control","Leeds vs Wolves","Correct Score","Away","0--1",0.1,0.8
"F.0032","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.1305","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1163","Treatment","Tottenham vs West Ham","Correct Score","Home","1--0",3,22.5
"F.0824","Control","West Brom vs Burnley","90 Minutes","Home","West Brom",3,7.5
"F.0842","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0469","Control","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0969","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0969","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",2,3
"F.0254","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0223","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",3,8.1
"F.0177","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0177","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.5,0.83
"F.0177","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1079","Control","Man City vs Arsenal","First Goalscorer","Away","Pierre-Emerick Aubameyang",3,19.5
"F.0036","Treatment","Everton vs Liverpool","First Goalscorer","Home","Dominic Calvert-Lewin",1,5.5
"F.0036","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.0630","Treatment","West Brom vs Burnley","Correct Score","Draw","2--2",0.1,1.5
"F.0630","Treatment","Sheffield Utd vs Fulham","Correct Score","Home","2--1",0.1,0.9
"F.0630","Treatment","Leeds vs Wolves","Correct Score","Draw","2--2",0.1,1.5
"F.0630","Treatment","Tottenham vs West Ham","Correct Score","Draw","1--1",0.1,0.7
"F.0630","Treatment","Everton vs Liverpool","Correct Score","Draw","2--2",0.1,1.1
"F.0779","Treatment","Newcastle vs Man Utd","Correct Score","Away","1--3",3,36
"F.0002","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",3,17.4
"F.0511","Control","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.0511","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",1,7.5
"F.0925","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0925","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0925","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0701","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",1,5
"F.0324","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",1,4.33
"F.0626","Control","Chelsea vs Southampton","90 Minutes","Draw","Draw",0.1,0.44
"F.0626","Control","Leeds vs Wolves","Correct Score","Home","3--0",0.1,2.6
"F.0626","Control","Tottenham vs West Ham","First Goalscorer","Away","Andriy Yarmolenko",0.1,0.95
"F.0626","Control","Everton vs Liverpool","First Goalscorer","Draw","No Goalscorer",0.1,1.3
"F.0626","Control","Everton vs Liverpool","First Goalscorer","Away","Thiago Alcantara",0.1,1.9
"F.0626","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.1,0.75
"F.0626","Control","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",0.1,0.43
"F.0626","Control","Newcastle vs Man Utd","Correct Score","Home","3--0",0.1,6.1
"F.0626","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",0.1,0.39
"F.0626","Control","Everton vs Liverpool","Correct Score","Away","3--4",0.1,6.1
"F.0319","Control","Leeds vs Wolves","Correct Score","Draw","3--3",1,56
"F.0319","Control","Tottenham vs West Ham","Correct Score","Home","2--1",1,8
"F.0319","Control","Everton vs Liverpool","Correct Score","Away","0--3",1,15
"F.0794","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1287","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",3,7.8
"F.0132","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0678","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.0243","Control","Leeds vs Wolves","90 Minutes","Draw","Draw",1.5,4.88
"F.1165","Treatment","Newcastle vs Man Utd","Correct Score","Away","1--3",1,12
"F.0161","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0161","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",1,7.5
"F.0161","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.0301","Treatment","Newcastle vs Man Utd","Correct Score","Home","2--1",1.5,22.5
"F.0301","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",1,3.8
"F.0301","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",0.5,4
"F.0471","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",2,8.67
"F.0471","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0136","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0895","Control","Everton vs Liverpool","First Goalscorer","Home","Dominic Calvert-Lewin",1,5.5
"F.0895","Control","Leeds vs Wolves","Correct Score","Home","2--1",1,9.5
"F.0895","Control","Leeds vs Wolves","First Goalscorer","Home","Patrick Bamford",1,6
"F.0457","Control","Man City vs Arsenal","Correct Score","Away","0--2",1,41
"F.0457","Control","Man City vs Arsenal","Correct Score","Draw","1--1",1,9.5
"F.0457","Control","Man City vs Arsenal","Correct Score","Home","1--0",1,10
"F.0066","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0066","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.5,1.35
"F.0963","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.2,1.5
"F.0963","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.2,0.54
"F.0963","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",1,7.5
"F.0963","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",0.3,1.3
"F.0963","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.3,0.45
"F.1069","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.1314","Treatment","Tottenham vs West Ham","Correct Score","Home","1--0",1,7.5
"F.1314","Treatment","Everton vs Liverpool","Correct Score","Away","0--1",2,20
"F.0673","Control","Newcastle vs Man Utd","Correct Score","Draw","0--0",0.2,2.4
"F.0673","Control","Newcastle vs Man Utd","Correct Score","Away","0--2",0.1,0.75
"F.0999","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0999","Treatment","Sheffield Utd vs Fulham","Correct Score","Home","1--0",0.5,3
"F.0999","Treatment","Man City vs Arsenal","90 Minutes","Draw","Draw",0.5,2.5
"F.0999","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0999","Treatment","Leeds vs Wolves","Correct Score","Home","2--1",0.25,2.38
"F.0999","Treatment","Tottenham vs West Ham","First Goalscorer","Home","Gareth Bale",0.25,1.25
"F.1057","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.1261","Control","Tottenham vs West Ham","Correct Score","Home","4--0",1,23
"F.1261","Control","Tottenham vs West Ham","Correct Score","Home","3--1",2,24
"F.0468","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0468","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0468","Control","Man City vs Arsenal","90 Minutes","Home","Man City",0.5,0.7
"F.0468","Control","Everton vs Liverpool","First Goalscorer","Away","Mohamed Salah",1,4.2
"F.0643","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1029","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1063","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0501","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1.5,2.78
"F.0501","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",1.5,5.7
"F.0473","Control","Chelsea vs Southampton","90 Minutes","Away","Southampton",0.25,1.63
"F.0473","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.75,3.75
"F.0473","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0473","Control","Man City vs Arsenal","90 Minutes","Home","Man City",1,1.4
"F.1226","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.0299","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1067","Control","Man City vs Arsenal","Correct Score","Home","2--1",0.75,6
"F.1067","Control","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",0.75,3.75
"F.1067","Control","Everton vs Liverpool","Correct Score","Draw","2--2",0.5,5.5
"F.1067","Control","Everton vs Liverpool","90 Minutes","Draw","Draw",1,3.9
"F.0297","Treatment","Sheffield Utd vs Fulham","90 Minutes","Away","Fulham",1,3.75
"F.0297","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",1,8
"F.0297","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",1,7.5
"F.0005","Treatment","Everton vs Liverpool","Correct Score","Home","2--0",0.5,11.5
"F.1272","Control","Leicester vs Aston Villa","90 Minutes","Home","Leicester",0.5,0.9
"F.1272","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1272","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.5,1.05
"F.1272","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.1070","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",3,17.4
"F.0904","Control","Tottenham vs West Ham","Correct Score","Home","1--0",0.5,3.75
"F.0604","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",1,3.8
"F.0604","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",2,8.67
"F.0919","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.1194","Treatment","Man City vs Arsenal","Correct Score","Home","1--0",3,30
"F.1271","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",1,2.7
"F.1271","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1271","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0519","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1,1.57
"F.0519","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.1257","Treatment","Chelsea vs Southampton","Correct Score","Home","3--1",3,33
"F.1242","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",2,3.7
"F.0070","Treatment","Leicester vs Aston Villa","First Goalscorer","Home","Harvey Barnes",0.5,4
"F.0070","Treatment","Chelsea vs Southampton","First Goalscorer","Home","Christian Pulisic",0.5,2.5
"F.0070","Treatment","Leicester vs Aston Villa","Correct Score","Home","3--2",0.5,9.5
"F.0070","Treatment","Newcastle vs Man Utd","Correct Score","Away","1--3",0.5,6
"F.0070","Treatment","Chelsea vs Southampton","Correct Score","Home","2--1",0.5,3.75
"F.0070","Treatment","Newcastle vs Man Utd","Correct Score","Draw","2--2",0.5,7.5
"F.0993","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",0.5,1.9
"F.0572","Control","Everton vs Liverpool","Correct Score","Home","2--0",2,46
"F.0320","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",0.25,0.35
"F.0320","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.25,0.38
"F.0320","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0311","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1.5,2.78
"F.0543","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.0533","Treatment","Man City vs Arsenal","Correct Score","Away","2--3",0.5,20.5
"F.0533","Treatment","Man City vs Arsenal","First Goalscorer","Away","Alexandre Lacazette",0.5,4.5
"F.0533","Treatment","Man City vs Arsenal","90 Minutes","Away","Arsenal",0.75,5.63
"F.0533","Treatment","Everton vs Liverpool","First Goalscorer","Away","Sadio Mane",0.25,1.25
"F.0533","Treatment","Everton vs Liverpool","First Goalscorer","Home","James Rodriguez",0.25,2.5
"F.0533","Treatment","Everton vs Liverpool","Correct Score","Draw","3--3",0.25,8.5
"F.0533","Treatment","Everton vs Liverpool","Correct Score","Draw","2--2",0.25,2.75
"F.0533","Treatment","Everton vs Liverpool","First Goalscorer","Home","Dominic Calvert-Lewin",0.25,1.38
"F.0795","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0675","Treatment","Tottenham vs West Ham","Correct Score","Home","3--1",1,12
"F.0675","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0675","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.1158","Treatment","Everton vs Liverpool","90 Minutes","Draw","Draw",3,11.7
"F.0554","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",3,6.3
"F.0800","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1004","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1.5,2.25
"F.1004","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1.5,2.36
"F.0558","Control","Everton vs Liverpool","90 Minutes","Home","Everton",1.5,5.85
"F.0558","Control","Leeds vs Wolves","90 Minutes","Away","Wolves",1.5,4.31
"F.0882","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",3,5
"F.0488","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1,1.5
"F.0381","Control","Crystal Palace vs Brighton","Correct Score","Home","3--1",1,21
"F.0046","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0840","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",2,3.33
"F.0840","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0305","Treatment","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.0216","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0366","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.1176","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0527","Treatment","Leeds vs Wolves","90 Minutes","Away","Wolves",1,2.88
"F.0261","Treatment","Everton vs Liverpool","Correct Score","Away","1--2",1,8
"F.0236","Treatment","Everton vs Liverpool","Correct Score","Home","2--1",3,39
"F.0970","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",2,5.2
"F.0970","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",1,1.85
"F.0249","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0249","Control","Everton vs Liverpool","90 Minutes","Home","Everton",1,3.9
"F.0197","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0253","Control","Everton vs Liverpool","90 Minutes","Home","Everton",3,11.7
"F.0143","Control","Leeds vs Wolves","Correct Score","Home","1--0",0.15,1.05
"F.0143","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",0.15,0.39
"F.0143","Control","Tottenham vs West Ham","Correct Score","Draw","1--1",0.15,1.05
"F.0143","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",0.15,0.87
"F.0143","Control","Crystal Palace vs Brighton","Correct Score","Home","1--0",0.15,1.05
"F.0143","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.15,0.41
"F.0143","Control","Man City vs Arsenal","Correct Score","Home","2--1",0.15,1.2
"F.0143","Control","Man City vs Arsenal","90 Minutes","Draw","Draw",0.15,0.75
"F.0143","Control","West Brom vs Burnley","Correct Score","Home","1--0",0.15,1.05
"F.0143","Control","West Brom vs Burnley","90 Minutes","Home","West Brom",0.15,0.38
"F.0143","Control","Sheffield Utd vs Fulham","Correct Score","Home","1--0",0.15,0.9
"F.0143","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.15,0.32
"F.0143","Control","Newcastle vs Man Utd","Correct Score","Away","0--1",0.15,1.05
"F.0143","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.15,0.25
"F.0143","Control","Leicester vs Aston Villa","Correct Score","Home","2--1",0.15,1.2
"F.0143","Control","Leicester vs Aston Villa","90 Minutes","Home","Leicester",0.15,0.27
"F.0143","Control","Chelsea vs Southampton","Correct Score","Home","2--0",0.15,1.2
"F.0143","Control","Chelsea vs Southampton","Correct Score","Home","1--0",0.15,1.35
"F.0143","Control","Everton vs Liverpool","Correct Score","Draw","1--1",0.15,1.05
"F.0143","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.15,0.28
"F.0490","Treatment","Everton vs Liverpool","90 Minutes","Away","Liverpool",1.5,2.78
"F.1022","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",2,3.14
"F.1022","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",1,1.67
"F.0306","Control","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",1,4.33
"F.0306","Control","Everton vs Liverpool","Correct Score","Away","0--2",1,10
"F.0564","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0149","Control","Leeds vs Wolves","First Goalscorer","Away","Raul Jimenez",3,13.5
"F.0004","Control","Leeds vs Wolves","90 Minutes","Draw","Draw",0.5,1.63
"F.0004","Control","Leeds vs Wolves","90 Minutes","Away","Wolves",1,2.88
"F.0004","Control","Leeds vs Wolves","90 Minutes","Home","Leeds",1,2.6
"F.0004","Control","Chelsea vs Southampton","Correct Score","Home","2--1",0.5,3.75
"F.1006","Treatment","Leicester vs Aston Villa","Correct Score","Draw","0--0",1,15
"F.0112","Treatment","Leeds vs Wolves","90 Minutes","Home","Leeds",3,7.8
"F.0028","Control","Sheffield Utd vs Fulham","Correct Score","Home","2--1",3,27
"F.0880","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",3,22.5
"F.0953","Treatment","Newcastle vs Man Utd","90 Minutes","Draw","Draw",3,12
"F.0863","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",3,5.55
"F.1308","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",0.5,0.7
"F.0027","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0027","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",0.5,0.79
"F.0027","Control","Man City vs Arsenal","90 Minutes","Home","Man City",0.5,0.7
"F.0027","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.1013","Treatment","Man City vs Arsenal","90 Minutes","Home","Man City",3,4.2
"F.0362","Control","Man City vs Arsenal","90 Minutes","Away","Arsenal",1,7.5
"F.0362","Control","Tottenham vs West Ham","90 Minutes","Away","West Ham",1,5.8
"F.0362","Control","Everton vs Liverpool","Correct Score","Away","0--1",1,10
"F.0314","Control","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0614","Treatment","Leicester vs Aston Villa","90 Minutes","Away","Aston Villa",1,4.33
"F.0614","Treatment","Leicester vs Aston Villa","90 Minutes","Draw","Draw",1,3.8
"F.0614","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",1,1.8
"F.0386","Treatment","Newcastle vs Man Utd","Correct Score","Home","2--0",3,78
"F.0785","Treatment","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.2,0.54
"F.0785","Treatment","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.2,0.42
"F.0785","Treatment","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",0.2,0.33
"F.0785","Treatment","Leicester vs Aston Villa","90 Minutes","Home","Leicester",0.2,0.36
"F.0785","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.2,0.3
"F.0642","Treatment","Leeds vs Wolves","Correct Score","Home","1--0",3,21
"F.0646","Control","Man City vs Arsenal","90 Minutes","Home","Man City",0.2,0.28
"F.0646","Control","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",0.2,0.54
"F.0646","Control","Crystal Palace vs Brighton","90 Minutes","Draw","Draw",0.2,0.64
"F.0646","Control","Crystal Palace vs Brighton","90 Minutes","Home","Crystal Palace",0.2,0.54
"F.0646","Control","Everton vs Liverpool","90 Minutes","Away","Liverpool",0.5,0.93
"F.0646","Control","Man City vs Arsenal","First Goalscorer","Away","Pierre-Emerick Aubameyang",0.1,0.65
"F.0646","Control","Man City vs Arsenal","First Goalscorer","Home","Kevin De Bruyne",0.2,1.1
"F.0646","Control","Man City vs Arsenal","First Goalscorer","Home","Raheem Sterling",0.2,0.9
"F.0646","Control","Everton vs Liverpool","First Goalscorer","Away","Sadio Mane",0.5,2.5
"F.0646","Control","Everton vs Liverpool","First Goalscorer","Away","Trent Alexander-Arnold",0.4,8.4
"F.0646","Control","Tottenham vs West Ham","First Goalscorer","Home","Giovani Lo Celso",0.1,1.5
"F.0646","Control","Tottenham vs West Ham","First Goalscorer","Home","Tanguy NDombele",0.1,1.9
"F.0646","Control","Sheffield Utd vs Fulham","90 Minutes","Home","Sheffield Utd",0.1,0.21
"F.0422","Treatment","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0647","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",1.5,2.36
"F.0733","Treatment","Chelsea vs Southampton","Correct Score","Home","2--0",1,8
"F.0769","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0896","Control","Crystal Palace vs Brighton","90 Minutes","Away","Brighton",1.5,4.05
"F.0896","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",1.5,2.25
"F.1283","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",0.5,0.75
"F.0406","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0224","Control","Newcastle vs Man Utd","90 Minutes","Away","Man Utd",3,5
"F.1089","Control","Newcastle vs Man Utd","First Goalscorer","Home","Fabian Schar",1,34
"F.0983","Treatment","Tottenham vs West Ham","90 Minutes","Home","Tottenham",3,4.71
"F.0693","Control","Chelsea vs Southampton","90 Minutes","Home","Chelsea",3,4.5
"F.0316","Treatment","Tottenham vs West Ham","Correct Score","Home","4--2",0.5,20.5
"F.0316","Treatment","Leeds vs Wolves","Correct Score","Away","2--3",0.5,17
"F.0316","Treatment","Crystal Palace vs Brighton","First Goalscorer","Away","Tariq Lamptey",0.5,14.5
"F.0316","Treatment","Sheffield Utd vs Fulham","First Goalscorer","Away","Aleksandar Mitrovic",0.5,2.5
"F.0316","Treatment","Newcastle vs Man Utd","90 Minutes","Home","Newcastle",1,5
